trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-134.71427054831253,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-142.1652217174172,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-120.11277734759062,"{0: 12, 1: 2, 2: 1, 3: 4, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-93.79667623474742,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-84.14381675127444,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-101.41463772465852,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-77.55071588206664,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",30,0,-184.89670106183377,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-102.6783105844614,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-6.423148514702714,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-90.99071281680912,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-167.0387108881123,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-41.55494989170736,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,1,-53.418827820115034,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-89.258931740354,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,-26.503930505501245,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,-30.33862997379829,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-38.131082549045196,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,13,22.30095378199814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",35,0,-98.93554754922124,"{0: 29, 1: 1, 2: 1, 3: 2, 4: 2}",0
1,True,"{'e': 0.0, 'a': 0.0}",30,8,-132.91113227441414,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 4}",1
2,True,"{'e': 0.0, 'a': 0.0}",20,0,-35.00820865016243,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,True,"{'e': 0.0, 'a': 0.0}",20,0,-44.480123886707304,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,True,"{'e': 0.0, 'a': 0.0}",25,0,-1.4279330728769302,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
5,True,"{'e': 0.0, 'a': 0.0}",30,18,-23.438487696085772,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'e': 0.0, 'a': 0.0}",25,15,2.2224561462681565,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",20,0,-72.28123880322791,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,True,"{'e': 0.0, 'a': 0.0}",30,0,41.731842925586406,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'e': 0.0, 'a': 0.0}",25,0,-27.013639449215823,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'e': 0.0, 'a': 0.0}",20,0,-17.09585282484989,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
