trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9900498337491681, 'a': 0.4}",25,0,-161.03014408705593,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,False,"{'e': 0.9801986733067553, 'a': 0.4}",20,0,-51.281928834470165,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",1
3,False,"{'e': 0.9704455335485082, 'a': 0.4}",30,0,-244.1660796358664,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
4,False,"{'e': 0.9607894391523232, 'a': 0.4}",20,0,-138.3638851554795,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'e': 0.951229424500714, 'a': 0.4}",20,8,-37.071629501154895,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'e': 0.9417645335842487, 'a': 0.4}",25,0,-64.11889326017265,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'e': 0.9323938199059483, 'a': 0.4}",20,0,-110.0335009406579,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
8,False,"{'e': 0.9231163463866358, 'a': 0.4}",30,0,-180.65809363127553,"{0: 14, 1: 3, 2: 10, 3: 2, 4: 1}",0
9,False,"{'e': 0.9139311852712282, 'a': 0.4}",20,0,-139.0306050497522,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
10,False,"{'e': 0.9048374180359595, 'a': 0.4}",25,0,-201.66479162687472,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'e': 0.8958341352965282, 'a': 0.4}",25,0,-139.3357502042315,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
12,False,"{'e': 0.8869204367171575, 'a': 0.4}",25,0,-169.52637605683663,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
13,False,"{'e': 0.8780954309205613, 'a': 0.4}",20,0,-56.2088810336881,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
14,False,"{'e': 0.8693582353988059, 'a': 0.4}",25,0,-170.85463558082967,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
15,False,"{'e': 0.8607079764250578, 'a': 0.4}",20,0,-10.523529292473919,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
16,False,"{'e': 0.8521437889662113, 'a': 0.4}",25,14,-6.834881754846071,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'e': 0.8436648165963837, 'a': 0.4}",20,0,-100.3208906849393,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'e': 0.835270211411272, 'a': 0.4}",20,0,-54.01324239067267,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'e': 0.8269591339433623, 'a': 0.4}",30,0,-231.07779381042369,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
20,False,"{'e': 0.8187307530779818, 'a': 0.4}",20,0,-136.64955287204512,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
21,False,"{'e': 0.8105842459701871, 'a': 0.4}",25,0,-157.70604692036898,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
22,False,"{'e': 0.8025187979624785, 'a': 0.4}",25,0,-100.85111663277839,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
23,False,"{'e': 0.794533602503334, 'a': 0.4}",25,0,-159.20423155361016,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
