trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",30,0,-142.0451178177296,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
2,False,"{'e': 1.0, 'a': 0.5}",30,0,-167.5215674552195,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",1
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-66.14598040717641,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-153.86185804172536,"{0: 6, 1: 6, 2: 5, 3: 2, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",30,0,-50.4126209275223,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-96.71444284187191,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",30,0,-191.1917462220781,"{0: 15, 1: 1, 2: 12, 3: 0, 4: 2}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-126.63099912161607,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-21.547391847371824,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-134.21828540023085,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",35,0,-158.451147039975,"{0: 17, 1: 9, 2: 6, 3: 2, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,9,-31.801732200893955,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-141.64962919647195,"{0: 7, 1: 7, 2: 3, 3: 2, 4: 1}",0
14,False,"{'e': 1.0, 'a': 0.5}",20,0,-117.54079372632815,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-116.53488154119917,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-115.41100721914373,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-98.89113882029729,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-74.07259525668678,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-243.21225935121697,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
20,False,"{'e': 1.0, 'a': 0.5}",35,21,-44.51903077005101,"{0: 7, 1: 5, 2: 1, 3: 1, 4: 0}",1
1,True,"{'e': 1.0, 'a': 0.5}",30,0,-91.58746236686305,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-172.76725188725686,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",1
3,True,"{'e': 1.0, 'a': 0.5}",25,15,-55.25792664060687,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-68.51263162951062,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",25,0,-169.3372890572833,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-63.06714320545421,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",25,0,-149.80190808986214,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
8,True,"{'e': 1.0, 'a': 0.5}",30,0,-304.5063349670128,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 5}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-125.92447206624169,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
10,True,"{'e': 1.0, 'a': 0.5}",25,0,-274.53390272606595,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 5}",0
